estacion,date,rain,x,y,modif
35025110-LA LIBERTAD_AUT,2012-03-15,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-16,14.3,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-17,0.1,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-18,3.1,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-19,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-20,7.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-21,16.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-22,7.7,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-23,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-24,12.7,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-25,0.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-26,17.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-27,13.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-28,67.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-29,71.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-30,57.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-31,4.7,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-04,2.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-04,0.0,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-03-04,7.9,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-04,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-04,20.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-04,3.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-04,2.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-04,1.1,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-04,45.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-04,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-04,32.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-12-04,0.3,-73.467917,4.057361,NO
