Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	ANIO	Modif	X	Y	ESTACION	NOMBRE_ESTACION
15/02/2012	0.00	28.22	19.56	85.78	345.95	febrero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
16/02/2012	0.00	28.33	21.07	90.19	294.66	febrero	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
17/02/2012	0.00	33.36	21.81	71.04	523.44	febrero	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
18/02/2012	0.00	30.94	21.53	88.82	430.37	febrero	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
19/02/2012	0.00	25.22	24.39	85.95	269.14	febrero	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
20/02/2012	0.00	33.06	25.39	66.65	340.31	febrero	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
21/02/2012	0.00	32.94	23.78	56.47	327.25	febrero	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
22/02/2012	0.00	31.89	19.94	71.38	501.31	febrero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
23/02/2012	0.00	32.78	20.22	68.79	592.19	febrero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
24/02/2012	0.20	32.83	20.94	66.54	455.39	febrero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
25/02/2012	2.40	30.78	22.28	79.83	308.17	febrero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
26/02/2012	0.00	30.33	20.94	72.04	301.13	febrero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
27/02/2012	0.00	32.50	19.17	68.12	592.02	febrero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
28/02/2012	0.00	33.11	19.44	67.62	582.04	febrero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
29/02/2012	0.00	32.61	20.17	65.88	526.15	febrero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
01/03/2012	0.00	32.89	22.78	67.29	411.19	marzo	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
02/03/2012	0.00	30.67	22.67	77.31	322.57	marzo	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
03/03/2012	0.00	31.30	24.76	76.69	324.03	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
04/03/2012	0.00	31.00	27.24	74.19	289.06	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
05/03/2012	0.00	33.20	27.62	63.07	324.39	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
06/03/2012	0.00	34.20	25.43	55.82	311.09	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
07/03/2012	0.00	34.00	22.20	74.19	479.17	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
08/03/2012	2.00	32.40	21.00	76.99	483.11	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
09/03/2012	0.00	29.20	20.20	89.04	279.91	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
10/03/2012	0.00	29.40	19.60	86.85	303.15	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
11/03/2012	0.00	31.60	21.60	85.51	473.44	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
12/03/2012	4.50	30.80	21.40	84.49	427.32	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
13/03/2012	0.00	30.00	22.20	88.93	348.29	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
14/03/2012	0.00	31.20	22.40	89.75	446.90	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
15/03/2012	0.00	32.60	23.20	77.15	428.59	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
16/03/2012	0.00	32.60	23.20	77.15	428.59	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
17/03/2012	0.25	33.80	21.00	67.22	516.37	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
18/03/2012	11.94	30.40	22.40	86.90	356.69	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
19/03/2012	3.40	30.80	21.80	88.27	456.08	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
20/03/2012	0.25	31.60	24.00	80.76	339.31	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
21/03/2012	0.00	30.20	22.00	89.41	375.14	marzo	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
