estacion,date,tmax,tmin,rhum,esol,x,y,modif
35025110-LA LIBERTAD_AUT,2012-02-27,34.2,20.6,75.39,291.16,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-28,34.6,21.0,71.65,541.63,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-29,34.6,21.8,62.28,565.69,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-03,35.0,23.6,65.81,514.93,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-03,32.0,23.0,80.19,470.68,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-03,31.3,22.2,84.06,162.35,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-03,31.0,21.2,81.4,476.91,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-03,33.2,21.0,74.31,378.43,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-03,34.2,19.6,73.76,421.55,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-07-03,34.0,22.2,76.23,382.38,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-03,32.4,21.0,83.0,272.49,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-03,29.2,20.2,85.52,447.73,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-03,29.4,19.6,83.42,217.76,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-03,31.6,21.6,81.86,543.18,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-12-03,30.8,21.4,84.61,229.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-13,30.0,22.2,85.24,268.52,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-14,31.2,22.4,83.66,355.55,-73.467917,4.057361,NO
