Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	A?	Modif	X	Y	ESTACION	NOMBRE_ESTACION
17/02/2012	0.00	33.17	18.94	69.08	537.67	febrero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
18/02/2012	0.00	34.22	20.22	66.25	568.62	febrero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
19/02/2012	0.00	34.61	19.11	63.12	579.37	febrero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
20/02/2012	0.00	33.83	17.72	65.21	579.21	febrero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
21/02/2012	0.00	33.56	19.28	65.55	575.10	febrero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
22/02/2012	0.00	34.44	22.06	69.21	521.67	febrero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
23/02/2012	0.00	33.11	19.33	67.79	515.83	febrero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
24/02/2012	0.00	33.22	20.44	65.67	491.75	febrero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
25/02/2012	0.00	33.72	22.17	59.83	625.46	febrero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
26/02/2012	0.00	33.17	19.50	65.62	539.21	febrero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
27/02/2012	0.00	33.83	20.83	62.33	583.93	febrero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
28/02/2012	0.00	34.61	22.89	63.33	523.74	febrero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
29/02/2012	7.62	33.17	22.39	77.62	302.33	febrero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
01/03/2012	0.50	33.83	22.44	78.90	481.43	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
02/03/2012	0.51	34.83	22.89	67.17	565.36	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
03/03/2012	0.00	34.72	20.83	63.50	589.18	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
04/03/2012	0.00	34.22	20.67	63.92	572.50	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
05/03/2012	0.00	33.50	18.44	66.25	566.83	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
06/03/2012	0.00	33.33	22.33	62.77	515.17	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
07/03/2012	14.23	31.72	21.44	78.46	308.95	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
08/03/2012	0.00	31.39	21.89	81.17	374.20	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
09/03/2012	0.00	33.83	22.78	75.35	314.48	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
10/03/2012	2.79	31.67	22.06	80.91	342.49	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
11/03/2012	7.00	31.59	21.53	82.63	511.36	marzo	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
12/03/2012	0.00	35.02	22.58	71.76	459.78	marzo	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
13/03/2012	0.00	31.44	23.94	67.91	330.56	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
14/03/2012	0.00	34.33	20.94	70.75	491.32	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
15/03/2012	0.00	34.78	22.17	68.29	415.58	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
16/03/2012	0.00	35.00	22.72	69.88	370.86	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
17/03/2012	0.00	35.39	21.72	73.58	508.53	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
18/03/2012	8.64	31.83	22.56	80.12	366.98	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
19/03/2012	0.00	31.00	23.17	76.62	292.88	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
20/03/2012	0.00	33.44	22.44	73.96	460.80	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
21/03/2012	8.63	31.83	22.33	81.67	374.99	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
22/03/2012	0.00	31.83	22.50	84.79	293.47	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
23/03/2012	0.00	30.56	21.94	84.17	267.49	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
24/03/2012	0.75	31.28	22.39	83.25	260.62	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
25/03/2012	1.26	32.83	22.61	86.00	312.29	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
26/03/2012	14.23	33.06	21.61	84.04	299.48	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
27/03/2012	15.74	33.28	21.28	87.08	380.58	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
28/03/2012	22.36	29.11	22.67	95.25	180.32	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
29/03/2012	11.17	28.78	22.44	94.71	199.74	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
30/03/2012	4.05	32.39	22.50	86.00	439.21	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
31/03/2012	63.24	31.17	22.17	88.79	401.63	marzo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
01/04/2012	0.25	31.94	22.22	85.21	393.38	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
02/04/2012	2.03	33.72	23.00	84.00	532.78	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
03/04/2012	1.02	30.56	23.44	89.21	337.57	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
04/04/2012	14.98	31.83	22.33	88.62	314.19	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
05/04/2012	25.39	31.50	22.78	92.17	305.42	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
06/04/2012	38.85	32.61	22.11	86.46	481.51	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
07/04/2012	3.80	30.00	22.50	89.50	312.40	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
08/04/2012	0.00	31.83	23.33	80.21	541.88	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
09/04/2012	0.00	29.56	23.61	86.29	441.27	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
10/04/2012	1.78	31.83	23.06	90.17	371.62	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
11/04/2012	2.03	31.28	22.72	84.54	492.10	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
12/04/2012	124.47	28.94	21.83	95.04	221.06	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
13/04/2012	0.25	28.89	22.06	91.50	298.45	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
14/04/2012	0.00	30.44	22.06	86.62	417.38	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
15/04/2012	0.00	30.83	22.22	84.17	496.66	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
16/04/2012	4.31	29.56	21.44	89.17	362.69	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
17/04/2012	0.00	32.06	22.44	82.54	473.86	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
18/04/2012	1.52	26.78	22.89	92.83	217.20	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
19/04/2012	11.17	29.78	22.83	92.08	306.97	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
20/04/2012	2.03	28.44	22.78	94.29	228.12	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
21/04/2012	15.24	32.00	21.28	89.71	446.00	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
22/04/2012	1.01	32.94	21.78	84.62	526.83	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
23/04/2012	18.28	30.89	22.61	91.33	311.18	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
24/04/2012	0.25	33.28	21.39	86.17	572.83	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
25/04/2012	10.16	31.33	21.83	91.46	371.38	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
26/04/2012	2.03	31.28	21.44	90.36	357.67	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
27/04/2012	2.28	31.39	23.39	92.85	258.78	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
28/04/2012	0.00	32.61	24.11	80.87	567.09	abril	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
29/04/2012	3.00	33.17	24.62	81.41	481.02	abril	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
30/04/2012	0.75	34.25	24.53	72.35	383.39	abril	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
01/05/2012	32.00	28.24	24.07	89.88	313.38	mayo	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
02/05/2012	31.10	32.49	23.38	82.98	489.38	mayo	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
03/05/2012	9.20	33.67	22.89	73.33	463.80	mayo	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
04/05/2012	0.00	31.53	22.47	84.42	476.16	mayo	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
05/05/2012	0.50	26.83	22.22	92.79	455.64	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
06/05/2012	0.00	30.44	22.33	88.17	463.54	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
07/05/2012	3.30	30.17	22.17	87.50	480.67	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
08/05/2012	0.00	30.67	23.00	86.62	490.37	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
09/05/2012	0.00	30.56	23.00	85.08	490.29	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
10/05/2012	0.00	31.11	22.50	86.25	489.34	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
11/05/2012	42.42	30.44	21.89	93.54	338.96	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
12/05/2012	5.32	30.33	22.06	91.43	364.28	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
13/05/2012	0.00	30.28	21.56	86.12	423.57	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
14/05/2012	0.00	31.06	22.06	80.27	458.65	mayo	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
15/05/2012	0.00	31.44	23.72	78.00	405.76	mayo	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
16/05/2012	0.00	30.56	22.28	89.25	413.08	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
17/05/2012	0.00	33.50	21.94	87.39	510.80	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
18/05/2012	0.40	32.70	23.20	82.30	439.37	mayo	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
19/05/2012	0.00	26.44	26.33	83.00	280.26	mayo	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
20/05/2012	0.00	29.28	22.22	90.79	333.03	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
21/05/2012	0.00	30.56	24.00	84.29	393.29	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
22/05/2012	8.87	30.94	22.78	87.91	597.80	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
23/05/2012	0.25	30.67	22.06	87.75	460.88	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
24/05/2012	0.50	31.50	21.28	84.80	614.56	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
25/05/2012	0.00	30.70	22.98	86.64	440.07	mayo	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
26/05/2012	0.00	31.56	23.72	83.40	631.89	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
27/05/2012	0.00	31.78	22.50	85.96	573.35	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
28/05/2012	22.60	28.22	21.67	95.29	178.51	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
29/05/2012	0.00	30.06	23.17	91.08	404.31	mayo	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
30/05/2012	0.00	30.95	22.84	86.09	439.16	mayo	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
31/05/2012	1.70	31.05	22.89	84.29	431.41	mayo	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
01/06/2012	0.00	30.28	24.00	83.85	602.42	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
02/06/2012	28.95	26.78	20.28	95.17	198.79	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
03/06/2012	0.00	29.28	21.83	87.78	589.53	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
04/06/2012	0.00	25.37	22.09	84.90	219.54	junio	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
05/06/2012	15.40	29.79	21.96	76.88	363.95	junio	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
06/06/2012	0.00	28.11	24.61	87.17	299.30	junio	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
07/06/2012	12.44	30.44	21.78	91.83	252.63	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
08/06/2012	45.21	25.39	21.06	96.58	197.79	junio	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
09/06/2012	3.31	28.56	21.78	93.75	267.68	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
10/06/2012	80.78	29.60	22.56	98.88	275.21	junio	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
11/06/2012	86.60	28.61	21.56	94.50	261.73	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
12/06/2012	66.80	30.22	21.06	87.79	516.87	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
13/06/2012	0.50	29.61	22.78	88.12	460.71	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
14/06/2012	0.00	27.56	22.72	91.71	322.88	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
15/06/2012	7.11	30.78	21.72	89.08	533.02	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
16/06/2012	58.67	28.56	22.22	93.67	306.29	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
17/06/2012	0.25	29.06	21.11	92.54	323.56	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
18/06/2012	0.00	29.78	22.39	89.33	472.23	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
19/06/2012	0.00	31.44	21.72	83.67	579.11	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
20/06/2012	1.52	31.61	22.22	90.46	377.82	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
21/06/2012	0.25	28.39	21.78	90.08	348.68	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
22/06/2012	0.25	32.39	19.72	84.04	525.45	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
23/06/2012	9.14	31.33	22.89	92.58	286.85	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
24/06/2012	2.79	32.00	22.28	87.79	498.54	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
25/06/2012	7.11	29.94	22.22	89.00	393.99	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
26/06/2012	5.06	31.39	21.28	88.79	486.08	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
