Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	ANIO	Modif	X	Y	ESTACIO	NOMBRE_ESTACION
11/02/2012	0.0	33.6	22.0	79.8	521.3	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
12/02/2012	0.0	32.4	22.8	82.6	489.2	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
13/02/2012	0.0	33.0	22.0	81.9	485.3	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
14/02/2012	0.0	33.0	21.0	77.3	485.1	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
15/02/2012	0.0	32.8	19.0	73.4	525.1	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
16/02/2012	0.0	33.4	19.4	67.6	538.0	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
17/02/2012	0.0	33.8	19.4	65.0	543.8	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
18/02/2012	0.0	33.4	20.2	73.9	519.9	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
19/02/2012	0.0	32.4	21.0	78.9	524.0	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
20/02/2012	0.0	34.4	21.0	73.5	542.7	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
21/02/2012	0.0	34.2	21.4	69.9	518.0	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
22/02/2012	0.0	33.6	20.0	71.7	535.1	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
23/02/2012	0.0	33.8	19.8	66.9	555.0	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
24/02/2012	3.3	34.4	19.2	64.2	561.4	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
25/02/2012	3.3	31.4	21.0	78.0	422.6	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
26/02/2012	0.0	30.4	20.0	79.6	465.2	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
27/02/2012	0.0	33.8	18.6	60.4	554.5	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
28/02/2012	0.0	34.2	18.4	62.6	553.3	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
29/02/2012	0.0	34.4	19.2	64.2	561.4	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
01/03/2012	0.0	34.8	21.4	71.1	526.0	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
02/03/2012	0.0	33.4	22.0	79.8	517.8	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
03/03/2012	6.5	30.4	21.0	79.8	351.6	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
04/03/2012	0.0	31.2	20.8	79.3	464.2	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
05/03/2012	0.0	33.6	20.2	72.4	539.4	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
06/03/2012	0.0	34.2	21.0	70.8	522.0	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
